service_id,date,exception_type
16401,20221126,1
6302,20221127,1
16401,20221203,1
6302,20221204,1
16401,20221210,1
6302,20221211,1
16401,20221217,1
6302,20221218,1
16401,20221224,1
6902,20221226,1
2,20221226,1
3,20221226,2
16501,20221231,1
16601,20221231,1
16401,20230107,1
6302,20230108,1
16401,20230114,1
6302,20230115,1
16401,20230121,1
6302,20230122,1
16401,20230128,1
6302,20230129,1
16401,20230204,1
6302,20230205,1
16401,20230211,1
6302,20230212,1
16401,20230218,1
6302,20230219,1
6902,20230220,1
2,20230220,1
3,20230220,2
16401,20230225,1
6302,20230226,1
