route_id;service_id;trip_id;trip_headsign;trip_short_name;direction_id;block_id;shape_id;wheelchair_accessible;bikes_allowed
1;16401;19477502;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480820;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477579;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480897;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480821;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477503;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477504;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480822;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480823;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477505;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477506;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480824;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480825;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477507;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480826;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477508;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480827;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477509;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480828;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477510;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477511;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480829;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480830;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477512;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477513;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480831;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477514;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480832;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480833;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477515;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477516;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480834;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480835;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477517;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477518;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480836;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480837;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477519;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480838;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477520;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480839;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477521;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480840;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477522;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477523;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480841;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480842;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477524;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477525;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480843;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477526;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480844;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480845;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477527;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477528;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480846;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480847;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477529;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477530;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480848;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480849;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
